Pais,Sede,Red_Social,URL
United States,EEEUU,Linkedin,www.linkedin.com/in/ARGinUSA
"Egypt, Arab Rep.",EEGIP,Instagram,instagram.com/argenegipto/
"Egypt, Arab Rep.",EEGIP,Twitter,twitter.com/ARGenEgipto
"Egypt, Arab Rep.",EEGIP,Facebook,facebook.com/ArgentinaenEgipto
United States,EEOEA,Facebook,www.facebook.com/ARGenOEA/
United States,EEOEA,Instagram,www.instagram.com/argenoea/
United States,EEOEA,Twitter,www.twitter.com/ARGenOEA
United States,EEOEA,Youtube,www.youtube.com/channel/UCqjmCa0UfL3_I3Ovqz5ZAag/featured
Spain,EESPA,Twitter,https://twitter.com/ARGenesp
Spain,EESPA,Facebook,https://www.facebook.com/argenespa/
Spain,EESPA,Instagram,https://www.instagram.com/argenespa/
Ethiopia,EETIO,Facebook,https://www.facebook.com/ArgEnEtiopia/
Ethiopia,EETIO,Instagram,https://www.instagram.com/embaargenetiopia/
Finland,EFINL,Facebook,www.facebook.com/ArgentinaEnFinlandia/
Finland,EFINL,Instagram,www.instagram.com/argenfinlandia/
France,EFRAN,Facebook,https://www.facebook.com/ArgentinaEnFrancia/
Russian Federation,EFRUS,Facebook,https://www.facebook.com/EMBAJADAARGENTINAENMOSCU
Russian Federation,EFRUS,Twitter,https://twitter.com/EmbArgRusia
Greece,EGREC,Facebook,https://www.facebook.com/ArgentinaEnGrecia
Greece,EGREC,Youtube,https://www.youtube.com/channel/UCFaKsErEs33zEdzJbnrzOog/featured
Chile,EHILE,Twitter,https://twitter.com/EmbArgEnChile
Chile,EHILE,Facebook,https://www.facebook.com/EmbArgentinaEnChile
Chile,EHILE,Instagram,https://www.instagram.com/embargenchile/
India,EINDI,Twitter,https://twitter.com/ArgentinaEnInd
India,EINDI,Facebook,https://www.facebook.com/ArgentinaEnInd
India,EINDI,Instagram,https://www.instagram.com/argentinaenind/
Ireland,EIRLA,Facebook,https://www.facebook.com/ArgentinaEnIrlanda/
Ireland,EIRLA,Instagram,https://www.instagram.com/embajadaargentinairlanda
Israel,EISRA,Facebook,https://www.facebook.com/ArgEnIsrael
Israel,EISRA,Twitter,https://twitter.com/argenisrael
Italy,EITAL,es-la.facebook.com,https://es-la.facebook.com/emb.roma/
Italy,EITAL,Twitter,https://twitter.com/arginitalia?lang=es
Italy,EITAL,Instagram,https://www.instagram.com/arginitalia/?hl=es
Jamaica,EJAMA,Facebook,https://www.facebook.com/ArgentinaEnJamaica/
Jamaica,EJAMA,Twitter,https://twitter.com/ARGenJamaica
Japan,EJAPO,Facebook,https://www.facebook.com/ArgJapon/?ref=bookmarks
Kenya,EKENY,Facebook,www.facebook.com/ArgentinaEnKenia
Kenya,EKENY,Instagram,https://www.instagram.com/argenkenya/
Kuwait,EKUWA,Facebook,www.facebook.com/ArgentinaenKuwait
Morocco,EMARR,Instagram,https://www.instagram.com/marruecos.embajada/
Morocco,EMARR,Twitter,https://twitter.com/ArgMarruecos
Mexico,EMEXI,Facebook,https://www.facebook.com/ARGenMexico/
Mexico,EMEXI,Instagram,https://www.instagram.com/embargenmexico/
Mexico,EMEXI,Youtube,https://www.youtube.com/user/EmbaArgenMX
Mozambique,EMOZA,Facebook,https://www.facebook.com/ArgentinaEnMozambique/
Malaysia,EMSIA,Facebook,https://www.facebook.com/ArgentinaEnMalasia
Nigeria,ENIGE,Facebook,https://www.facebook.com/ArgentinaEnNigeria/
Nigeria,ENIGE,Instagram,https://www.instagram.com/embargennigeria/?igshid=f0laoeu8lhv8
Norway,ENORU,Facebook,https://www.facebook.com/ArgentinaEnNoruega/
Norway,ENORU,Instagram,https://www.instagram.com/ARGenNoruega/
Switzerland,EOIRS,Facebook,https://www.facebook.com/ArgentinaEnGinebra
Switzerland,EOIRS,Instagram,www.instagram.com/misionargentinaonu
Switzerland,EOIRS,Twitter,https://twitter.com/ArgentinaONUOMC
Switzerland,EOIRS,Youtube,https://www.youtube.com/channel/UCSOsChik8j7nFJZnPq6K7Ag
Pakistan,EPAKI,Twitter,https://twitter.com/EmbajadadeArge1
Paraguay,EPARA,Twitter,https://twitter.com/argenparaguay_
Paraguay,EPARA,Facebook,https://www.facebook.com/embajada.paraguay
Netherlands,EPBAJ,Facebook,https://www.facebook.com/ArgEnPaisesBajos/
Netherlands,EPBAJ,Twitter,https://twitter.com/ArgentinaEnPB
Peru,EPERU,Twitter,https://twitter.com/Emb_Arg_Peru
Peru,EPERU,Facebook,https://www.facebook.com/ArgentinaEnPeru
Poland,EPOLO,Facebook,https://www.facebook.com/Embajada-de-la-Rep%C3%BAblica-Argentina-en-Polonia-1726942037398853/
Costa Rica,ERICA,Facebook,https://www.facebook.com/argentinaencostarica/
Romania,ERUMA,Facebook,https://www.facebook.com/ArgentinaEnRumania
Romania,ERUMA,Instagram,https://www.instagram.com/argentinaenrumania
South Africa,ESAFR,Facebook,facebook.com/ArgenSudafrica
South Africa,ESAFR,Twitter,https://twitter.com/EmbArgentina
South Africa,ESAFR,Instagram,https://www.instagram.com/argentinaensudafrica
El Salvador,ESALV,Twitter,https://twitter.com/ARGenElSalvador
El Salvador,ESALV,Facebook,https://www.facebook.com/ArgentinaEnElSalvador/
El Salvador,ESALV,Instagram,https://www.instagram.com/embargenelsalvador/
Serbia,ESERB,Facebook.com,Facebook.com/ArgentinaEnSerbia
Serbia,ESERB,Instagram.com,Instagram.com/ARGinSerbia
Singapore,ESING,Twitter,https://twitter.com/ARGinSingapore
Singapore,ESING,Instagram,https://instagram.com/argentine_embassy_singapore?igshid=YmMyMTA2M2Y=
Sweden,ESUEC,se.linkedin.com,https://se.linkedin.com/showcase/arginsweden
Sweden,ESUEC,Facebook,https://www.facebook.com/arginsweden/
Sweden,ESUEC,Instagram,https://www.instagram.com/arginsweden/
Thailand,ETAIL,Facebook,https://www.facebook.com/ArgEnTailandiaBangkok/?tn-str=k*F
Austria,ETRIA,Facebook,https://www.facebook.com/ArgentinaEnAustria/
Austria,ETRIA,Twitter,https://twitter.com/ARGenViena
Austria,ETRIA,Instagram,https://www.instagram.com/argenviena/
Trinidad and Tobago,ETRIN,Facebook,www.facebook.com/ArgentinaEnTrinidadYTobago
Tunisia,ETUNE,Facebook,https://www.facebook.com/ArgEnTunez/
Tunisia,ETUNE,Twitter,https://www.twitter.com/EmbajadaTunez
Tunisia,ETUNE,Instagram,https://www.instagram.com/embargentinatn
Tunisia,ETUNE,Youtube,https://www.youtube.com/channel/UC8kSZug1SPHrp3r1hGzhjtg
Ukraine,EUCRA,Facebook,https://www.facebook.com/ArgentinaEnUcrania
Ukraine,EUCRA,Instagram,https://www.instagram.com/argenucrania/
Hungary,EUNGR,Facebook,https://www.facebook.com/ArgentinaEnHungria
Viet Nam,EVIET,Facebook,https://www.facebook.com/ArgentinaEnVietnam/
Viet Nam,EVIET,Instagram,https://www.instagram.com/argenvietnam/
West Bank and Gaza,REPAL,Facebook,https://www.facebook.com/ArgEnPalestina
Brazil,CRIOJ,Facebook,https://www.facebook.com/ArgentinaEnRiodeJaneiro/
Spain,CTENE,Facebook,www.facebook.com/argentinaentenerife
Azerbaijan,EAZER,Facebook,https://www.facebook.com/EmbassyOfArgentina/
Azerbaijan,EAZER,Instagram,www.instagram.com/embargentinaaz
Azerbaijan,EAZER,Twitter,www.twitter.com/ARGEnAzer
Belgium,EBELG,Facebook,https://www.facebook.com/ArgentinaEnBelgica/
Belgium,EBELG,Instagram,https://www.instagram.com/argenbelgica/
Philippines,EFILI,Facebook,https://www.facebook.com/ArgentinaEnFilipinas
Philippines,EFILI,Instagram,https://www.instagram.com/argentinaenfilipinas/
Philippines,EFILI,Twitter,https://twitter.com/ArgentinaEnFili
France,EUNES,Twitter,https://twitter.com/ArgentinaUNESCO
France,EUNES,Facebook,https://www.facebook.com/delegation.argentine/
Uruguay,EURUG,Twitter,https://twitter.com/ArgentinaEnUru
Uruguay,EURUG,Facebook,https://www.facebook.com/ArgentinaEnUru/
Uruguay,EURUG,Instagram,https://www.instagram.com/argentinaenuru/
